(-1, -1, 1)|activePlanning|(1, -1, 1)|7.71001344186
(1, 1, 1)|activePlanning|(1, -1, 0)|5.79165256796
(1, -1, -1)|rewardPunish|(1, 1, -1)|6.14669568587
(1, -1, 1)|remindTruths|(0, 0, 1)|5.24823731771
(1, 1, 1)|rewardPunish|(-1, -1, 1)|2.26447002981
(-1, -1, 1)|rewardPunish|(1, 1, -1)|6.47824688303
(1, 1, 1)|remindTruths|(1, 1, 0)|1.97375892744
(0, 0, 1)|activePlanning|(-1, 0, 1)|6.00196926764
(0, 1, -1)|activePlanning|(0, 1, -1)|1.65226725309
(0, 0, 1)|remindTruths|(1, 0, 1)|6.5060059329
(-1, -1, 1)|rewardPunish|(0, -1, 0)|2.27070110051
(-1, -1, -1)|activePlanning|(1, 0, 0)|3.6154443569
(1, 0, 1)|remindTruths|(1, -1, 0)|6.4609345968
(0, 1, 1)|activePlanning|(-1, -1, 0)|9.05877270375
(-1, 1, 1)|rewardPunish|(1, 0, 0)|2.54151583365
(0, 1, 1)|remindTruths|(-1, -1, -1)|9.32290589922
(1, 1, 0)|remindTruths|(-1, 1, 0)|8.19194349162
(-1, 1, 0)|activePlanning|(1, -1, -1)|9.85283278694
(0, -1, -1)|rewardPunish|(0, -1, 1)|8.53242439681
(-1, -1, 1)|rewardPunish|(1, 0, -1)|5.75293513713
(0, 1, 1)|activePlanning|(1, 1, 1)|5.82605688813
(-1, 0, 1)|activePlanning|(1, 1, 0)|6.43852436214
(0, 1, 1)|remindTruths|(0, 1, 0)|4.57427046004
(-1, 1, 1)|activePlanning|(0, 1, 0)|8.59684343154
(0, 1, 1)|remindTruths|(0, 1, -1)|7.21695827422
(0, -1, 1)|activePlanning|(0, 0, 0)|6.54076097334
(1, -1, 1)|remindTruths|(-1, -1, -1)|2.71045496333
(-1, 0, 0)|activePlanning|(0, 0, 1)|4.09260296687
(-1, 1, 1)|remindTruths|(1, 1, 1)|1.07512255721
(-1, 0, -1)|rewardPunish|(1, 1, -1)|5.66672669734
(-1, 1, 0)|rewardPunish|(-1, 1, 0)|8.93311661144
(0, 0, 0)|rewardPunish|(0, -1, 1)|1.59687217589
(-1, -1, 0)|rewardPunish|(1, 0, 1)|1.75545851221
(0, 1, 0)|activePlanning|(0, -1, -1)|1.5830605918
(0, 0, 1)|activePlanning|(0, 1, 0)|5.57912339697
(0, 1, 1)|remindTruths|(0, -1, 0)|5.87534925321
(1, 0, 1)|remindTruths|(-1, 0, 1)|9.92510868526
(0, 0, -1)|rewardPunish|(0, -1, 1)|5.88236032327
(0, 1, 0)|activePlanning|(1, 1, 0)|7.18218092022
(0, 0, 0)|rewardPunish|(-1, 0, 0)|8.84822213506
(1, 0, -1)|remindTruths|(0, 1, 1)|4.54988460495
(-1, 0, -1)|rewardPunish|(1, 0, 0)|6.8104754223
(1, 1, 1)|remindTruths|(0, -1, 1)|6.2302928204
(1, -1, 1)|rewardPunish|(-1, -1, -1)|1.78205390289
(-1, 1, 1)|rewardPunish|(1, -1, -1)|1.32851603735
(0, -1, 0)|remindTruths|(-1, 0, 1)|4.46127095772
(0, 1, -1)|activePlanning|(0, 0, 1)|7.6577339911
(-1, 1, 1)|rewardPunish|(1, -1, 1)|4.61885867779
(0, -1, -1)|remindTruths|(0, 0, 1)|8.57329668589
(-1, 0, -1)|activePlanning|(0, 0, 0)|6.25195345179
(1, 0, 0)|rewardPunish|(1, 0, 1)|4.5400059187
(1, -1, -1)|activePlanning|(1, -1, 0)|6.58633709743
(0, 1, 1)|activePlanning|(1, 0, -1)|3.76809046731
(0, 1, 0)|rewardPunish|(0, 0, 1)|7.53317565141
(0, 1, 0)|remindTruths|(1, 1, 0)|4.65511931223
(1, 0, 0)|activePlanning|(1, -1, -1)|5.34683333143
(1, 1, 0)|remindTruths|(0, 1, 0)|8.76195339028
(1, 0, 0)|activePlanning|(1, -1, 1)|2.8996258667
(1, 1, 0)|activePlanning|(1, -1, 1)|4.30427036152
(-1, 1, -1)|rewardPunish|(-1, -1, -1)|3.06721540023
(-1, 1, -1)|rewardPunish|(1, -1, 0)|8.17003994673
(-1, 1, 1)|remindTruths|(1, -1, -1)|7.18375497765
(0, 0, 1)|remindTruths|(-1, -1, -1)|5.30089218813
(-1, -1, 0)|activePlanning|(1, 0, 1)|7.98972383424
(-1, 0, 0)|rewardPunish|(1, 1, 1)|9.76874478523
(1, -1, 0)|remindTruths|(1, 1, -1)|2.20183986517
(0, 0, 1)|rewardPunish|(-1, 0, 0)|8.39630792251
(1, -1, -1)|rewardPunish|(0, 1, -1)|2.52839030323
(1, -1, 0)|remindTruths|(0, -1, 0)|1.98161831917
(-1, 1, 0)|remindTruths|(1, 1, -1)|6.58673578373
(-1, -1, 0)|remindTruths|(-1, 1, 0)|8.60118671392
(1, 0, 0)|activePlanning|(-1, 0, -1)|6.57353611991
(1, 0, 0)|remindTruths|(1, 0, 0)|4.373009813
(-1, -1, 1)|rewardPunish|(0, 1, -1)|1.32621708227
(-1, 0, 0)|remindTruths|(0, 0, 0)|1.20697680342
(1, 1, -1)|rewardPunish|(0, -1, -1)|5.8332190824
(0, 0, -1)|remindTruths|(0, 0, 0)|4.31796939356
(1, 0, 1)|rewardPunish|(0, 1, 1)|1.09789929206
(-1, -1, 0)|activePlanning|(1, 1, 0)|1.36073961082
(0, 0, 1)|activePlanning|(0, 1, 1)|8.78528971848
(-1, 1, 0)|rewardPunish|(0, 0, 0)|8.93137606144
(0, -1, 1)|remindTruths|(0, 1, -1)|5.40056512833
(0, -1, -1)|rewardPunish|(-1, 0, 1)|9.86650889007
(1, 0, 0)|rewardPunish|(0, 0, 1)|8.87029369483
(-1, -1, -1)|rewardPunish|(0, 0, -1)|4.30903456879
(-1, -1, 1)|remindTruths|(-1, -1, 1)|5.69676545034
(1, 1, 1)|remindTruths|(-1, 1, -1)|8.46424753053
(-1, 1, -1)|remindTruths|(1, 0, 0)|8.95811937239
(1, 1, -1)|remindTruths|(0, -1, 1)|1.51070278125
(1, 1, 0)|rewardPunish|(-1, 1, 0)|4.99801977401
(0, -1, 0)|rewardPunish|(1, -1, -1)|6.57810538068
(0, 1, 0)|activePlanning|(0, -1, 0)|1.57133147775
(0, 1, 1)|rewardPunish|(1, -1, -1)|6.54841120173
(1, 1, 1)|remindTruths|(-1, -1, 1)|2.45177496231
(1, 1, 0)|remindTruths|(-1, -1, -1)|3.10009700709
(1, -1, -1)|activePlanning|(-1, 0, -1)|5.94220913371
(0, 1, -1)|rewardPunish|(1, 0, 1)|2.74561455851
(1, 0, 1)|activePlanning|(1, -1, 1)|1.64305530169
(1, 0, 0)|activePlanning|(1, 1, -1)|6.33917961751
(0, 1, -1)|rewardPunish|(0, 0, 0)|2.68515195976
(-1, 0, 1)|activePlanning|(0, 1, 0)|8.40944908726
(-1, 1, 1)|rewardPunish|(0, -1, 1)|3.50411646177
(-1, 1, 1)|activePlanning|(1, -1, 0)|5.50623994864
(0, 1, 1)|remindTruths|(1, 0, 1)|7.36100402807
(1, 1, 1)|rewardPunish|(-1, -1, 0)|8.17421983852
(-1, 0, 0)|rewardPunish|(0, 0, 1)|6.96794583943
(-1, 1, 1)|remindTruths|(0, -1, 0)|3.85796398525
(0, 0, -1)|activePlanning|(1, 1, 0)|4.970232693
(1, 1, 0)|remindTruths|(1, 0, -1)|9.08386061001
(-1, -1, 0)|activePlanning|(-1, 1, -1)|6.01908244849
(-1, 1, 1)|activePlanning|(-1, 0, 1)|7.96012393116
(1, -1, 0)|rewardPunish|(0, -1, 0)|5.81201849404
(0, -1, 1)|rewardPunish|(1, 0, 1)|3.51956934839
(0, 1, 1)|remindTruths|(0, -1, 1)|8.44187161585
(0, -1, 1)|activePlanning|(1, -1, -1)|5.61826279889
(-1, 1, -1)|activePlanning|(-1, 0, 0)|3.38475748005
(-1, 1, 0)|remindTruths|(-1, 0, -1)|2.31227731827
(1, 0, 0)|remindTruths|(0, 1, -1)|9.90266637034
(0, 1, -1)|activePlanning|(-1, 1, 0)|4.97387903999
(0, -1, -1)|remindTruths|(-1, 0, -1)|8.22688618099
(0, 1, 0)|activePlanning|(0, 0, 0)|5.39394280975
(-1, -1, 0)|activePlanning|(-1, -1, 1)|7.5061666503
(-1, -1, 1)|remindTruths|(0, 1, -1)|8.53760704069
(0, 0, -1)|activePlanning|(-1, -1, -1)|3.0190333586
(-1, -1, 0)|remindTruths|(1, 1, 1)|7.91380914913
(0, 1, 0)|activePlanning|(0, 1, 1)|3.12061099937
(0, -1, 1)|activePlanning|(-1, 0, 0)|9.51814435112
(-1, 1, 0)|activePlanning|(1, 0, -1)|5.06811405094
(-1, 0, 0)|activePlanning|(1, 1, 1)|5.51183407115
(0, 0, 1)|rewardPunish|(1, -1, 1)|2.65267011305
(1, 0, 1)|activePlanning|(1, -1, -1)|6.84688002838
(1, -1, 0)|activePlanning|(-1, 0, -1)|5.16305003599
(-1, 1, -1)|rewardPunish|(-1, -1, 1)|7.88560821542
(1, -1, 1)|remindTruths|(0, 1, 0)|2.9652797663
(-1, 0, 1)|rewardPunish|(-1, 1, -1)|6.70368904738
(0, 0, 1)|rewardPunish|(-1, 1, 1)|3.69429717895
(-1, 0, 0)|activePlanning|(0, 1, 0)|5.03743823821
(1, 1, 0)|rewardPunish|(-1, 0, 0)|1.05359661099
(1, 0, -1)|remindTruths|(0, -1, -1)|7.59886235849
(1, 1, -1)|remindTruths|(-1, -1, 1)|1.69341764813
(1, 0, -1)|rewardPunish|(-1, 0, -1)|6.68215362063
(0, 1, -1)|remindTruths|(1, 0, 0)|2.73452047038
(1, 0, -1)|rewardPunish|(0, 0, 1)|9.9970966293
(0, 0, 1)|rewardPunish|(1, 1, -1)|1.45483566159
(0, 1, 0)|activePlanning|(-1, 1, 0)|8.8090249358
(-1, -1, -1)|rewardPunish|(-1, 1, 1)|6.71616268034
(1, 1, 1)|remindTruths|(-1, 1, -1)|7.95707195588
